tt0042429	Edward and Caroline	7.1	562
tt0042432	The Elusive Pimpernel	6.1	540
tt0042433	Emergency Wedding	6.0	94
tt0042434	In the Palm of Your Hand	7.5	240
tt0042436	Les Enfants Terribles	7.1	3886
tt0042437	The Orplid Mystery	6.9	65
tt0042439	A Day Will Come	8.6	19
tt0042442	Experiment Alcatraz	5.6	319
tt0042444	The Rabanser Case	6.4	38
tt0042445	The Falling Star	5.9	20
tt0042447	Fancy Pants	6.6	1270
tt0042449	Father Is a Bachelor	6.7	427
tt0042451	Father of the Bride	7.2	10796
tt0042453	Federal Agent at Large	6.0	53
tt0042459	Figaro qua, Figaro là	6.6	95
tt0042461	Filomena Marturano	7.2	36
tt0042463	The Fireball	5.7	320
tt0042464	The Flame and the Arrow	6.9	3682
tt0042465	Flesh and Blood	6.0	77
tt0042466	Girl with Hyacinths	7.6	778
tt0042468	The Flying Missile	5.8	165
tt0042469	The Flying Saucer	3.7	447
tt0042470	Folie douce	5.4	12
tt0042472	For Heaven's Sake	6.3	414
tt0042474	Fortunes of Captain Blood	5.8	328
tt0042477	The Flowers of St. Francis	7.4	3476
tt0042478	The Franchise Affair	7.2	259
tt0042480	Doctor Praetorius	7.2	103
tt0042481	Frei Luís de Sousa	6.0	95
tt0042482	Frenchie	6.4	435
tt0042483	Frisco Tornado	6.5	69
tt0042485	Frökens första barn	5.3	64
tt0042486	Spring on Ice	8.1	42
tt0042488	The Fuller Brush Girl	6.6	753
tt0042490	The Furies	7.3	3149
tt0042491	فرجت	6.5	7
tt0042493	The White Hell of Pitz Palu	6.2	55
tt0042494	Five Suspects	6.9	31
tt0042495	Gabriela	6.8	32
tt0042496	Gambling House	6.1	427
tt0042500	The Violin Maker of Mittenwald	6.3	13
tt0042504	The Disturbed Wedding Night	6.1	18
tt0042506	The Girl from San Lorenzo	7.3	28
tt0042509	The Glass Menagerie	7.1	1094
tt0042513	Gone to Earth	6.9	1253
tt0042514	The Good Humor Man	6.5	394
tt0042516	The City Turns the Lights On	7.4	37
tt0042519	O Grande Elias	7.0	229
tt0042521	The Great Jewel Robber	6.5	181
tt0042522	State Secret	7.1	468
tt0042524	The Great Rupert	6.5	1097
tt0042525	Border Post 58	5.6	11
tt0042526	Grounds for Marriage	6.0	206
tt0042529	Guilty Bystander	6.2	802
tt0042530	Gun Crazy	7.6	12674
tt0042531	The Gunfighter	7.7	10515
tt0042534	Gunman in the Streets	6.6	383
tt0042539	Halls of Montezuma	6.6	2619
tt0042541	The Happiest Days of Your Life	7.3	1595
tt0042542	The Happy Years	6.9	674
tt0042543	Harbor of Missing Men	6.4	59
tt0042544	Harriet Craig	7.3	1875
tt0042546	Harvey	7.9	54123
tt0042548	He's a Cockeyed Wonder	5.2	141
tt0042550	Wonderful Times	5.5	28
tt0042552	High Lonesome	5.4	224
tt0042553	Highly Dangerous	5.9	548
tt0042556	Hills of Oklahoma	6.3	50
